iter	RMSE
249	4.777880471
250	4.776562066
251	4.762793847
252	4.74055873
253	4.723736847
254	4.704633914
255	4.688219156
256	4.677225496
257	4.662710655
258	4.646280441
259	4.632017336
260	4.623891434
261	4.608630072
262	4.607319618
263	4.605582001
264	4.592386895
265	4.579894413
266	4.568526684
267	4.557766285
268	4.545326185
269	4.530721741
270	4.518810869
271	4.507443178
272	4.506343708
273	4.499236024
274	4.49819282
275	4.491837275
276	4.476810976
277	4.465002821
278	4.451188927
279	4.446918072
280	4.439415338
281	4.425036236
282	4.424074656
283	4.411279726
284	4.403689013
285	4.388299793
286	4.372690357
287	4.365011908
288	4.357457623
289	4.33787084
290	4.334047245
291	4.33303975
292	4.332135146
293	4.322188054
294	4.321311679
295	4.309569463
296	4.294591126
297	4.28016992
298	4.279251799
299	4.265288115
300	4.264548912
301	4.257930893
302	4.247212736
303	4.240423086
304	4.235327413
305	4.222683855
306	4.210889681
307	4.203979897
308	4.201616354
309	4.189965064
310	4.17837022
311	4.168523822
312	4.159878409
313	4.15145941
314	4.144357331
315	4.132520357
316	4.124066253
317	4.118038037
318	4.112401228
319	4.109146618
320	4.101090556
321	4.088231767
322	4.084166301
323	4.076589684
324	4.073161398
325	4.066045925
326	4.056886629
327	4.046836278
328	4.042246163
329	4.024059176
330	4.021587017
331	4.014301747
332	4.006982573
333	4.00486744
334	3.99569389
335	3.97971255
336	3.970854896
337	3.970133585
338	3.958057623
339	3.951297388
340	3.941303309
341	3.940248366
342	3.924895346
343	3.923166142
344	3.922456928
345	3.912750401
346	3.90475225
347	3.892478452
348	3.883430469
349	3.881019257
350	3.873158939
351	3.869278218
352	3.852119781
353	3.842051526
354	3.840353255
355	3.831076007
356	3.827552909
357	3.811782003
358	3.799959348
359	3.790500396
360	3.789829932
361	3.778553114
362	3.772457333
363	3.764247284
364	3.752004556
365	3.738641954
366	3.736401127
367	3.727607365
368	3.726618909
369	3.71506141
370	3.70801024
371	3.70721869
372	3.705645436
373	3.696498454
374	3.69047726
375	3.678050263
376	3.674774619
377	3.664197913
378	3.651306059
379	3.646638024
380	3.641226604
381	3.638939696
382	3.63641172
383	3.635470678
384	3.634594474
385	3.63115986
386	3.628370181
387	3.624138071
388	3.613549615
389	3.608000994
390	3.607193847
391	3.595859112
392	3.588889453
393	3.584132507
394	3.577275272
395	3.568125555
396	3.557269914
397	3.556672805
398	3.548577669
399	3.545716207
400	3.545031348
401	3.534736719
402	3.52768215
403	3.513323614
404	3.493144902
405	3.482118002
406	3.476526712
407	3.476027061
408	3.469046964
409	3.459623811
410	3.452935708
411	3.451042708
412	3.449581998
413	3.43966328
414	3.427766047
415	3.419815141
416	3.418936578
417	3.417571167
418	3.404643267
419	3.402345461
420	3.401849299
421	3.390892039
422	3.385242945
423	3.378749474
424	3.368256851
425	3.364425008
426	3.360258721
427	3.357226555
428	3.348717443
429	3.347541458
430	3.340014015
431	3.338682242
432	3.330641778
433	3.321083964
434	3.3096703
435	3.309298963
436	3.306243068
437	3.296064447
438	3.285961552
439	3.27630103
440	3.267263386
441	3.263596433
442	3.262905716
443	3.254923839
444	3.24744355
445	3.234067862
446	3.223144884
447	3.216657273
448	3.206670188
449	3.206232294
450	3.19676221
451	3.189167114
452	3.183582843
453	3.173205574
454	3.167169039
455	3.165886671
456	3.157426022
457	3.156241924
458	3.155957626
459	3.147244455
460	3.146737143
461	3.135025408
462	3.126134216
463	3.113704412
464	3.107478502
465	3.100995808
466	3.094472448
467	3.088390591
468	3.084100845
469	3.076017684
470	3.074056071
471	3.073522569
472	3.071099829
473	3.059410782
474	3.050522933
475	3.040442844
476	3.037348415
477	3.031196467
478	3.017654803
479	3.01667439
480	3.01151733
481	3.00548386
482	2.996779904
483	2.988563097
484	2.979205409
485	2.977818575
486	2.967125482
487	2.957291257
488	2.956723161
489	2.951694306
490	2.944423901
491	2.93972118
492	2.93442231
493	2.930608959
494	2.92901147
495	2.923348669
496	2.909138396
497	2.904706913
498	2.897070476
499	2.891513411
